iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
10	dp-pp	6927254214574679	6927254265304969	50730290	54534144	33554432
10	pp-dp	6927261559510348	6927262848115188	1288604840	33554432	525336576
10	dp-pp	6927265067500284	6927265068282100	781816	4	4
10	pp-dp	6927265068302260	6927265101568156	33265896	4	131334144
11	dp-pp	6927266540042858	6927266585560532	45517674	54534144	33554432
11	pp-dp	6927274026540399	6927275378727179	1352186780	33554432	525336576
11	dp-pp	6927277520306802	6927277521070314	763512	4	4
11	pp-dp	6927277521096458	6927277557094555	35998097	4	131334144
12	dp-pp	6927278942824963	6927279041530059	98705096	54534144	33554432
12	pp-dp	6927286490640971	6927287833710159	1343069188	33554432	525336576
12	dp-pp	6927289959561991	6927289960434014	872023	4	4
12	pp-dp	6927289960470206	6927289998263165	37792959	4	131334144
13	dp-pp	6927291365475469	6927291477802120	112326651	54534144	33554432
13	pp-dp	6927298739060524	6927299980762015	1241701491	33554432	525336576
13	dp-pp	6927302127004344	6927302127789712	785368	4	4
13	pp-dp	6927302127815632	6927302167248797	39433165	4	131334144
14	dp-pp	6927303561243040	6927303652443019	91199979	54534144	33554432
14	pp-dp	6927311088354362	6927312319410267	1231055905	33554432	525336576
14	dp-pp	6927314338675066	6927314434785581	96110515	4	4
14	pp-dp	6927314434795180	6927314450601228	15806048	4	131334144
15	dp-pp	6927315886913627	6927315954176945	67263318	54534144	33554432
15	pp-dp	6927323334491419	6927324560244660	1225753241	33554432	525336576
15	dp-pp	6927326767088904	6927326767920192	831288	4	4
15	pp-dp	6927326767945664	6927326808815199	40869535	4	131334144
16	dp-pp	6927328253205299	6927328299030112	45824813	54534144	33554432
16	pp-dp	6927335827170864	6927337185425175	1358254311	33554432	525336576
16	dp-pp	6927339227001695	6927339335010251	108008556	4	4
16	pp-dp	6927339335019979	6927339350600875	15580896	4	131334144
17	dp-pp	6927340792450247	6927340886556802	94106555	54534144	33554432
17	pp-dp	6927348390619239	6927349763459049	1372839810	33554432	525336576
17	dp-pp	6927351788675232	6927351839296377	50621145	4	4
17	pp-dp	6927351839305945	6927351854856441	15550496	4	131334144
18	dp-pp	6927353296579256	6927353368467159	71887903	54534144	33554432
18	pp-dp	6927360769191417	6927361995149224	1225957807	33554432	525336576
18	dp-pp	6927364018771274	6927364070409785	51638511	4	4
18	pp-dp	6927364070419481	6927364085987066	15567585	4	131334144
19	dp-pp	6927365519314940	6927365568045481	48730541	54534144	33554432
19	pp-dp	6927372955507404	6927374180172666	1224665262	33554432	525336576
19	dp-pp	6927376188881215	6927376233608692	44727477	4	4
19	pp-dp	6927376233618196	6927376247948737	14330541	4	4
