iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
10	dp-pp	6927254209844788	6927254265020455	55175667	54534144	33554432
10	pp-dp	6927261462316121	6927262848150757	1385834636	33554432	525336576
10	dp-pp	6927264934835282	6927265067905188	133069906	4	4
10	pp-dp	6927265067914340	6927265083723543	15809203	4	131334144
11	dp-pp	6927266493760503	6927266585526565	91766062	54534144	33554432
11	pp-dp	6927274011168016	6927275379898441	1368730425	33554432	525336576
11	dp-pp	6927277406484659	6927277520712376	114227717	4	4
11	pp-dp	6927277520721560	6927277536376011	15654451	4	131334144
12	dp-pp	6927278939050343	6927279041337812	102287469	54534144	33554432
12	pp-dp	6927286475567633	6927287834768852	1359201219	33554432	525336576
12	dp-pp	6927289833384615	6927289959632331	126247716	4	4
12	pp-dp	6927289959641419	6927289975366176	15724757	4	131334144
13	dp-pp	6927291321234262	6927291477837653	156603391	54534144	33554432
13	pp-dp	6927298616671802	6927299983727552	1367055750	33554432	525336576
13	dp-pp	6927302009537009	6927302127364170	117827161	4	4
13	pp-dp	6927302127373290	6927302143046292	15673002	4	131334144
14	dp-pp	6927303554094230	6927303652414583	98320353	54534144	33554432
14	pp-dp	6927310934835781	6927312320209442	1385373661	33554432	525336576
14	dp-pp	6927314317904561	6927314434883309	116978748	4	4
14	pp-dp	6927314434892429	6927314450738783	15846354	4	131334144
15	dp-pp	6927315845443347	6927315954034006	108590659	54534144	33554432
15	pp-dp	6927323183835150	6927324559955157	1376120007	33554432	525336576
15	dp-pp	6927326648987725	6927326767430128	118442403	4	4
15	pp-dp	6927326767439568	6927326783249732	15810164	4	131334144
16	dp-pp	6927328171080418	6927328298983294	127902876	54534144	33554432
16	pp-dp	6927335811155116	6927337186511339	1375356223	33554432	525336576
16	dp-pp	6927339198177376	6927339335410997	137233621	4	4
16	pp-dp	6927339335420085	6927339351067305	15647220	4	131334144
17	dp-pp	6927340727141494	6927340886360026	159218532	54534144	33554432
17	pp-dp	6927348374695546	6927349765105241	1390409695	33554432	525336576
17	dp-pp	6927351718972900	6927351839679494	120706594	4	4
17	pp-dp	6927351839688581	6927351855424313	15735732	4	131334144
18	dp-pp	6927353214333969	6927353368212696	153878727	54534144	33554432
18	pp-dp	6927360616674042	6927361997463830	1380789788	33554432	525336576
18	dp-pp	6927363955739886	6927364069957582	114217696	4	4
18	pp-dp	6927364069966862	6927364085739348	15772486	4	131334144
19	dp-pp	6927365498341736	6927365568076982	69735246	54534144	33554432
19	pp-dp	6927372796070768	6927374179461492	1383390724	33554432	525336576
19	dp-pp	6927376114450185	6927376233313964	118863779	4	4
19	pp-dp	6927376233323148	6927376247668129	14344981	4	4
