iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
10	pp-dp	6927254278780782	6927254279450249	669467	33554432	131338240
10	dp-pp	6927255504132719	6927256865561372	1361428653	54534144	33554432
10	pp-dp	6927256878653051	6927258872406477	1993753426	33554432	525352960
10	dp-pp	6927261453164592	6927261453177552	12960	218136576	33554432
10	pp-dp	6927261460953974	6927261464388701	3434727	33554432	4
10	dp-pp	6927261464730266	6927261625931378	161201112	4	4
11	pp-dp	6927266597428816	6927266598097963	669147	33554432	131338240
11	dp-pp	6927267846045965	6927269186101244	1340055279	54534144	33554432
11	pp-dp	6927269198967931	6927271193272121	1994304190	33554432	525352960
11	dp-pp	6927274002478025	6927274002490920	12895	218136576	33554432
11	pp-dp	6927274010389166	6927274013819636	3430470	33554432	4
11	dp-pp	6927274013830100	6927274159255129	145425029	4	4
12	pp-dp	6927279053967855	6927279054639210	671355	33554432	131338240
12	dp-pp	6927280275270085	6927281638867545	1363597460	54534144	33554432
12	pp-dp	6927281652202935	6927283646544928	1994341993	33554432	525352960
12	dp-pp	6927286469030690	6927286469032738	2048	218136576	33554432
12	pp-dp	6927286476329644	6927286479767891	3438247	33554432	4
12	dp-pp	6927286479778035	6927286612534684	132756649	4	4
13	pp-dp	6927291490826876	6927291491497239	670363	33554432	131338240
13	dp-pp	6927292733296406	6927294085953401	1352656995	54534144	33554432
13	pp-dp	6927294099687890	6927296089707280	1990019390	33554432	525352960
13	dp-pp	6927298608363817	6927298608375401	11584	218136576	33554432
13	pp-dp	6927298616782731	6927298620212561	3429830	33554432	4
13	dp-pp	6927298620222833	6927298759005838	138783005	4	4
14	pp-dp	6927303665179975	6927303665855137	675162	33554432	131338240
14	dp-pp	6927304892938634	6927306259954141	1367015507	54534144	33554432
14	pp-dp	6927306274059155	6927308264622262	1990563107	33554432	525352960
14	dp-pp	6927310926363269	6927310926365030	1761	218136576	33554432
14	pp-dp	6927310934674280	6927310938113134	3438854	33554432	4
14	dp-pp	6927310938123342	6927311099318434	161195092	4	4
15	pp-dp	6927315966276083	6927315966950830	674747	33554432	131338240
15	dp-pp	6927317210206460	6927318568814136	1358607676	54534144	33554432
15	pp-dp	6927318582881519	6927320574497303	1991615784	33554432	525352960
15	dp-pp	6927323175503174	6927323175505767	2593	218136576	33554432
15	pp-dp	6927323183414764	6927323186853266	3438502	33554432	4
15	dp-pp	6927323186863698	6927323336983607	150119909	4	4
16	pp-dp	6927328312075701	6927328312743632	667931	33554432	131338240
16	dp-pp	6927329559210540	6927330931196832	1371986292	54534144	33554432
16	pp-dp	6927330944651419	6927332935797261	1991145842	33554432	525352960
16	dp-pp	6927335804351698	6927335804354866	3168	218136576	33554432
16	pp-dp	6927335812375351	6927335815806461	3431110	33554432	4
16	dp-pp	6927335815816637	6927335962165918	146349281	4	4
17	pp-dp	6927340900574647	6927340901247986	673339	33554432	131338240
17	dp-pp	6927342128393118	6927343504705258	1376312140	54534144	33554432
17	pp-dp	6927343518549027	6927345511907841	1993358814	33554432	525352960
17	dp-pp	6927348366291257	6927348366294489	3232	218136576	33554432
17	pp-dp	6927348372203117	6927348375639507	3436390	33554432	4
17	dp-pp	6927348377144328	6927348543590501	166446173	4	4
18	pp-dp	6927353381374762	6927353382049893	675131	33554432	131338240
18	dp-pp	6927354630259373	6927355996508382	1366249009	54534144	33554432
18	pp-dp	6927356009982489	6927358004237737	1994255248	33554432	525352960
18	dp-pp	6927360608248366	6927360608252303	3937	218136576	33554432
18	pp-dp	6927360616229482	6927360619665741	3436259	33554432	4
18	dp-pp	6927360619676013	6927360771142816	151466803	4	4
19	pp-dp	6927365581033300	6927365581707087	673787	33554432	131338240
19	dp-pp	6927366850738056	6927368215096044	1364357988	54534144	33554432
19	pp-dp	6927368228530406	6927370223002495	1994472089	33554432	525352960
19	dp-pp	6927372787594774	6927372787598166	3392	218136576	33554432
19	pp-dp	6927372793543210	6927372796987792	3444582	33554432	4
19	dp-pp	6927372798514821	6927372962085536	163570715	4	4
19	pp-dp	6927376233617546	6927376247948926	14331380	4	4
