iteration	parallelism_type	start_ts	end_ts	duration_ns	kernel_name	collective_name	in_msg_nelems	group_desc	group_ranks	dtype
10	DP	6927252790149933	6927252929571923	139421990	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	65667072	mesh_dp_shard	[3, 7]	BFloat16
10	DP	6927252929573171	6927252985177955	55604784	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[3, 7]	BFloat16
10	DP	6927252985179971	6927253046362625	61182654	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[3, 7]	BFloat16
10	DP	6927253046365249	6927253121025172	74659923	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[3, 7]	BFloat16
10	DP	6927253121028084	6927253202574449	81546365	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[3, 7]	BFloat16
10	DP	6927253202577521	6927253282793843	80216322	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[3, 7]	BFloat16
10	DP	6927253282815539	6927253361823865	79008326	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[3, 7]	BFloat16
10	DP	6927253361879896	6927253442734904	80855008	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[3, 7]	BFloat16
10	DP	6927253442755864	6927253522290812	79534948	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[3, 7]	BFloat16
10	DP	6927253522295324	6927253601851071	79555747	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[3, 7]	BFloat16
10	DP	6927253601893056	6927253683509565	81616509	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[3, 7]	BFloat16
10	DP	6927253683512444	6927253768996910	85484466	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[3, 7]	BFloat16
10	DP	6927253769001614	6927253858638737	89637123	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[3, 7]	BFloat16
