iteration	parallelism_type	start_ts	end_ts	duration_ns	kernel_name	collective_name	in_msg_nelems	group_desc	group_ranks	dtype
15	DP	6927325526879808	6927325641768040	114888232	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	54534144	mesh_dp_shard	[1, 5]	Float
15	DP	6927325642129094	6927325758805698	116676604	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	54534144	mesh_dp_shard	[1, 5]	Float
15	DP	6927325759175679	6927325876833300	117657621	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	54534144	mesh_dp_shard	[1, 5]	Float
15	DP	6927325877197202	6927325993587248	116390046	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	54534144	mesh_dp_shard	[1, 5]	Float
15	DP	6927325993955053	6927326111081511	117126458	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	54534144	mesh_dp_shard	[1, 5]	Float
15	DP	6927326111436452	6927326227138503	115702051	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	54534144	mesh_dp_shard	[1, 5]	Float
15	DP	6927326227507364	6927326346484945	118977581	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	54534144	mesh_dp_shard	[1, 5]	Float
15	DP	6927326346842895	6927326462436081	115593186	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	54534144	mesh_dp_shard	[1, 5]	Float
15	DP	6927326462798927	6927326576231104	113432177	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	54534144	mesh_dp_shard	[1, 5]	Float
15	DP	6927326576584606	6927326686081290	109496684	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	54534144	mesh_dp_shard	[1, 5]	Float
15	DP	6927326696225127	6927326696306790	81663	ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	allreduce	1	mesh_dp_shard	[1, 5]	Float
15	PP	6927326767432239	6927326767442063	9824	ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	allreduce	1	mesh_pp	[5, 13]	Float
16	DP	6927326782995784	6927326924577408	141581624	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	65667072	mesh_dp_shard	[1, 5]	BFloat16
16	DP	6927326924579679	6927326989302643	64722964	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[1, 5]	BFloat16
16	DP	6927326989306259	6927327064031333	74725074	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[1, 5]	BFloat16
16	DP	6927327064044357	6927327152335805	88291448	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[1, 5]	BFloat16
16	DP	6927327152338972	6927327238647425	86308453	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[1, 5]	BFloat16
16	DP	6927327238650689	6927327322868212	84217523	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[1, 5]	BFloat16
16	DP	6927327322876180	6927327407132039	84255859	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[1, 5]	BFloat16
16	DP	6927327407133414	6927327488648043	81514629	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[1, 5]	BFloat16
16	DP	6927327488650827	6927327570637805	81986978	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[1, 5]	BFloat16
16	DP	6927327570643692	6927327652880141	82236449	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[1, 5]	BFloat16
16	DP	6927327652883724	6927327734567120	81683396	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[1, 5]	BFloat16
16	DP	6927327734570960	6927327812617291	78046331	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[1, 5]	BFloat16
16	DP	6927327812634987	6927327894430830	81795843	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[1, 5]	BFloat16
16	DP	6927327894453070	6927327977197386	82744316	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[1, 5]	BFloat16
16	DP	6927327977222154	6927328060043814	82821660	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[1, 5]	BFloat16
