iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
10	dp-pp	6927254209879736	6927254265186792	55307056	54534144	33554432
10	pp-dp	6927261462001612	6927262848106482	1386104870	33554432	525336576
10	dp-pp	6927264934800466	6927265067880621	133080155	4	4
10	pp-dp	6927265067890445	6927265083505532	15615087	4	131334144
11	dp-pp	6927266493840716	6927266585444180	91603464	54534144	33554432
11	pp-dp	6927274011402145	6927275378696310	1367294165	33554432	525336576
11	dp-pp	6927277406446987	6927277520680372	114233385	4	4
11	pp-dp	6927277520689748	6927277536423108	15733360	4	131334144
12	dp-pp	6927278939012603	6927279041384436	102371833	54534144	33554432
12	pp-dp	6927286477305392	6927287833695075	1356389683	33554432	525336576
12	dp-pp	6927289833343759	6927289959993568	126649809	4	4
12	pp-dp	6927289960002912	6927289976049198	16046286	4	131334144
13	dp-pp	6927291321237591	6927291477627254	156389663	54534144	33554432
13	pp-dp	6927298617852934	6927299980692531	1362839597	33554432	525336576
13	dp-pp	6927302009499801	6927302127413145	117913344	4	4
13	pp-dp	6927302127422841	6927302143225202	15802361	4	131334144
14	dp-pp	6927303553997235	6927303652344084	98346849	54534144	33554432
14	pp-dp	6927310935782466	6927312319338572	1383556106	33554432	525336576
14	dp-pp	6927314317863577	6927314434783837	116920260	4	4
14	pp-dp	6927314434793213	6927314450527338	15734125	4	131334144
15	dp-pp	6927315845438717	6927315954037501	108598784	54534144	33554432
15	pp-dp	6927323184451621	6927324560183127	1375731506	33554432	525336576
15	dp-pp	6927326648936274	6927326767514687	118578413	4	4
15	pp-dp	6927326767524062	6927326783222413	15698351	4	131334144
16	dp-pp	6927328171095833	6927328298893481	127797648	54534144	33554432
16	pp-dp	6927335813445365	6927337185355427	1371910062	33554432	525336576
16	dp-pp	6927339198128920	6927339335009247	136880327	4	4
16	pp-dp	6927339335018878	6927339350885067	15866189	4	131334144
17	dp-pp	6927340727122293	6927340886502899	159380606	54534144	33554432
17	pp-dp	6927348373097617	6927349763435524	1390337907	33554432	525336576
17	dp-pp	6927351718920319	6927351839295428	120375109	4	4
17	pp-dp	6927351839304964	6927351855226418	15921454	4	131334144
18	dp-pp	6927353214195872	6927353368329723	154133851	54534144	33554432
18	pp-dp	6927360617316460	6927361995130077	1377813617	33554432	525336576
18	dp-pp	6927363955682564	6927364070408635	114726071	4	4
18	pp-dp	6927364070417915	6927364086185338	15767423	4	131334144
19	dp-pp	6927365498169817	6927365567900160	69730343	54534144	33554432
19	pp-dp	6927372794348975	6927374180146615	1385797640	33554432	525336576
19	dp-pp	6927376114388104	6927376233607827	119219723	4	4
19	pp-dp	6927376233617203	6927376247960582	14343379	4	4
