Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
81686602492,81686605518,3026,0,3026,NCCL:ncclReduceScatter,1114948,1114948,1,0,28645,25594,:25594:28645,--NCCL:ncclReduceScatter
81686605949,81686628302,22353,0,22353,NCCL:ncclGroupEnd,1114948,1114948,1,0,28646,25594,:25594:28646,--NCCL:ncclGroupEnd
81686606039,81686606861,822,0,822,NCCL:ncclGroupStart,1114945,1114945,1,0,28647,25592,:25592:28647,--NCCL:ncclGroupStart
81686607632,81686610628,2996,0,2996,NCCL:ncclReduceScatter,1114945,1114945,1,0,28648,25592,:25592:28648,--NCCL:ncclReduceScatter
81686610949,81686633422,22473,0,22473,NCCL:ncclGroupEnd,1114945,1114945,1,0,28649,25592,:25592:28649,--NCCL:ncclGroupEnd
81686621459,81686622281,822,0,822,NCCL:ncclGroupStart,1114946,1114946,1,0,28650,25593,:25593:28650,--NCCL:ncclGroupStart
81686623112,81686626208,3096,0,3096,NCCL:ncclReduceScatter,1114946,1114946,1,0,28651,25593,:25593:28651,--NCCL:ncclReduceScatter
81686626699,81686649202,22503,0,22503,NCCL:ncclGroupEnd,1114946,1114946,1,0,28652,25593,:25593:28652,--NCCL:ncclGroupEnd
81686664262,81686665053,791,0,791,NCCL:ncclGroupStart,1114947,1114947,1,0,28653,25768,:25768:28653,--NCCL:ncclGroupStart
81686665835,81686669101,3266,0,3266,NCCL:ncclReduceScatter,1114947,1114947,1,0,28654,25768,:25768:28654,--NCCL:ncclReduceScatter
81686669512,81686691695,22183,0,22183,NCCL:ncclGroupEnd,1114947,1114947,1,0,28655,25768,:25768:28655,--NCCL:ncclGroupEnd
81698913041,81698913833,792,0,792,NCCL:ncclGroupStart,1114948,1114948,1,0,28656,25594,:25594:28656,--NCCL:ncclGroupStart
81698917089,81698920936,3847,0,3847,NCCL:ncclAllGather,1114948,1114948,1,0,28657,25594,:25594:28657,--NCCL:ncclAllGather
81698921277,81698948309,27032,0,27032,NCCL:ncclGroupEnd,1114948,1114948,1,0,28658,25594,:25594:28658,--NCCL:ncclGroupEnd
81698942759,81698943680,921,0,921,NCCL:ncclGroupStart,1114945,1114945,1,0,28659,25592,:25592:28659,--NCCL:ncclGroupStart
81698945845,81698949401,3556,0,3556,NCCL:ncclAllGather,1114945,1114945,1,0,28660,25592,:25592:28660,--NCCL:ncclAllGather
81698949882,81698977045,27163,0,27163,NCCL:ncclGroupEnd,1114945,1114945,1,0,28661,25592,:25592:28661,--NCCL:ncclGroupEnd
81698992936,81698993907,971,0,971,NCCL:ncclGroupStart,1114946,1114946,1,0,28662,25593,:25593:28662,--NCCL:ncclGroupStart
81698997645,81699002504,4859,0,4859,NCCL:ncclAllGather,1114946,1114946,1,0,28663,25593,:25593:28663,--NCCL:ncclAllGather
81699002895,81699030528,27633,0,27633,NCCL:ncclGroupEnd,1114946,1114946,1,0,28664,25593,:25593:28664,--NCCL:ncclGroupEnd
81699005400,81699006342,942,0,942,NCCL:ncclGroupStart,1114947,1114947,1,0,28665,25768,:25768:28665,--NCCL:ncclGroupStart
81699009157,81699013425,4268,0,4268,NCCL:ncclAllGather,1114947,1114947,1,0,28666,25768,:25768:28666,--NCCL:ncclAllGather
81699013906,81699042341,28435,0,28435,NCCL:ncclGroupEnd,1114947,1114947,1,0,28667,25768,:25768:28667,--NCCL:ncclGroupEnd
81709849053,81709850125,1072,0,1072,NCCL:ncclGroupStart,1114948,1114948,1,0,28668,25594,:25594:28668,--NCCL:ncclGroupStart
81709851137,81709854413,3276,0,3276,NCCL:ncclReduceScatter,1114948,1114948,1,0,28669,25594,:25594:28669,--NCCL:ncclReduceScatter
81709854814,81709877618,22804,0,22804,NCCL:ncclGroupEnd,1114948,1114948,1,0,28670,25594,:25594:28670,--NCCL:ncclGroupEnd
81709862378,81709863200,822,0,822,NCCL:ncclGroupStart,1114945,1114945,1,0,28671,25592,:25592:28671,--NCCL:ncclGroupStart
81709863992,81709867058,3066,0,3066,NCCL:ncclReduceScatter,1114945,1114945,1,0,28672,25592,:25592:28672,--NCCL:ncclReduceScatter
81709867478,81709891835,24357,0,24357,NCCL:ncclGroupEnd,1114945,1114945,1,0,28673,25592,:25592:28673,--NCCL:ncclGroupEnd
81709882547,81709883559,1012,0,1012,NCCL:ncclGroupStart,1114947,1114947,1,0,28674,25768,:25768:28674,--NCCL:ncclGroupStart
81709884481,81709887858,3377,0,3377,NCCL:ncclReduceScatter,1114947,1114947,1,0,28675,25768,:25768:28675,--NCCL:ncclReduceScatter
81709884772,81709885563,791,0,791,NCCL:ncclGroupStart,1114946,1114946,1,0,28676,25593,:25593:28676,--NCCL:ncclGroupStart
81709886505,81709889541,3036,0,3036,NCCL:ncclReduceScatter,1114946,1114946,1,0,28677,25593,:25593:28677,--NCCL:ncclReduceScatter
81709888319,81709911804,23485,0,23485,NCCL:ncclGroupEnd,1114947,1114947,1,0,28678,25768,:25768:28678,--NCCL:ncclGroupEnd
81709889942,81709913337,23395,0,23395,NCCL:ncclGroupEnd,1114946,1114946,1,0,28679,25593,:25593:28679,--NCCL:ncclGroupEnd
81712662141,81712663123,982,0,982,NCCL:ncclGroupStart,1114945,1114945,1,0,28680,25592,:25592:28680,--NCCL:ncclGroupStart
81712663113,81712664014,901,0,901,NCCL:ncclGroupStart,1114948,1114948,1,0,28681,25594,:25594:28681,--NCCL:ncclGroupStart
81712663854,81712670327,6473,0,6473,NCCL:ncclAllGather,1114945,1114945,1,0,28682,25592,:25592:28682,--NCCL:ncclAllGather
81712664636,81712671028,6392,0,6392,NCCL:ncclAllGather,1114948,1114948,1,0,28683,25594,:25594:28683,--NCCL:ncclAllGather
81712670818,81712703761,32943,0,32943,NCCL:ncclGroupEnd,1114945,1114945,1,0,28684,25592,:25592:28684,--NCCL:ncclGroupEnd
81712671489,81712704563,33074,0,33074,NCCL:ncclGroupEnd,1114948,1114948,1,0,28685,25594,:25594:28685,--NCCL:ncclGroupEnd
81712690566,81712691528,962,0,962,NCCL:ncclGroupStart,1114947,1114947,1,0,28686,25768,:25768:28686,--NCCL:ncclGroupStart
81712693431,81712706697,13266,0,13266,NCCL:ncclAllGather,1114947,1114947,1,0,28687,25768,:25768:28687,--NCCL:ncclAllGather
81712698882,81712702860,3978,0,3978,NCCL:ncclGroupStart,1114946,1114946,1,0,28688,25593,:25593:28688,--NCCL:ncclGroupStart
81712703491,81712709673,6182,0,6182,NCCL:ncclAllGather,1114946,1114946,1,0,28689,25593,:25593:28689,--NCCL:ncclAllGather
81712707188,81712733248,26060,0,26060,NCCL:ncclGroupEnd,1114947,1114947,1,0,28690,25768,:25768:28690,--NCCL:ncclGroupEnd
81712710394,81712736955,26561,0,26561,NCCL:ncclGroupEnd,1114946,1114946,1,0,28691,25593,:25593:28691,--NCCL:ncclGroupEnd
81715066940,81715073783,6843,0,6843,NCCL:ncclGroupStart,1114948,1114948,1,0,28692,25594,:25594:28692,--NCCL:ncclGroupStart
81715074695,81715078222,3527,0,3527,NCCL:ncclReduceScatter,1114948,1114948,1,0,28693,25594,:25594:28693,--NCCL:ncclReduceScatter
81715079244,81715106436,27192,0,27192,NCCL:ncclGroupEnd,1114948,1114948,1,0,28694,25594,:25594:28694,--NCCL:ncclGroupEnd
81715088572,81715093601,5029,0,5029,NCCL:ncclGroupStart,1114945,1114945,1,0,28695,25592,:25592:28695,--NCCL:ncclGroupStart
81715094864,81715098411,3547,0,3547,NCCL:ncclReduceScatter,1114945,1114945,1,0,28696,25592,:25592:28696,--NCCL:ncclReduceScatter
81715099152,81715125573,26421,0,26421,NCCL:ncclGroupEnd,1114945,1114945,1,0,28697,25592,:25592:28697,--NCCL:ncclGroupEnd
81715136975,81715141594,4619,0,4619,NCCL:ncclGroupStart,1114947,1114947,1,0,28698,25768,:25768:28698,--NCCL:ncclGroupStart
81715142456,81715145652,3196,0,3196,NCCL:ncclReduceScatter,1114947,1114947,1,0,28699,25768,:25768:28699,--NCCL:ncclReduceScatter
81715144790,81715145792,1002,0,1002,NCCL:ncclGroupStart,1114946,1114946,1,0,28700,25593,:25593:28700,--NCCL:ncclGroupStart
