Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
12079270269,12592982779,513712510,0,513712510,NCCL:ncclCommInitRankConfig,1114948,1114948,0,0,4,,:4,NCCL:ncclCommInitRankConfig
12602029719,12814055859,212026140,0,212026140,NCCL:ncclBroadcast,1114948,1114948,0,0,9,,:9,NCCL:ncclBroadcast
22573175151,40840076157,18266901006,4894961313,13371939693,:pp_fw_bw,1114948,1114948,0,1087,17,,:17,:pp_fw_bw
22585011083,23208579237,623568154,0,623568154,NCCL:ncclCommInitRankConfig,1114948,1114948,1,0,18,17.0,:17:18,--NCCL:ncclCommInitRankConfig
23208727684,23250399093,41671409,0,41671409,NCCL:ncclAllGather,1114948,1114948,1,0,25,17.0,:17:25,--NCCL:ncclAllGather
23873776489,24011553520,137777031,0,137777031,NCCL:ncclCommInitRankConfig,1114948,1114948,1,0,34,17.0,:17:34,--NCCL:ncclCommInitRankConfig
24015513545,24015516410,2865,0,2865,NCCL:ncclGroupStart,1114948,1114948,1,0,44,17.0,:17:44,--NCCL:ncclGroupStart
24015555286,24015599141,43855,0,43855,NCCL:ncclReduceScatter,1114948,1114948,1,0,45,17.0,:17:45,--NCCL:ncclReduceScatter
24015615622,24052224565,36608943,0,36608943,NCCL:ncclGroupEnd,1114948,1114948,1,0,46,17.0,:17:46,--NCCL:ncclGroupEnd
24056749783,24056889583,139800,0,139800,NCCL:ncclAllGather,1114948,1114948,1,0,49,17.0,:17:49,--NCCL:ncclAllGather
24180364796,24180373813,9017,0,9017,NCCL:ncclGroupStart,1114948,1114948,1,0,51,17.0,:17:51,--NCCL:ncclGroupStart
24180375256,24180384274,9018,0,9018,NCCL:ncclAllGather,1114948,1114948,1,0,52,17.0,:17:52,--NCCL:ncclAllGather
24180385255,24180429401,44146,0,44146,NCCL:ncclGroupEnd,1114948,1114948,1,0,53,17.0,:17:53,--NCCL:ncclGroupEnd
24474388654,24474400276,11622,0,11622,NCCL:ncclGroupStart,1114948,1114948,1,0,68,17.0,:17:68,--NCCL:ncclGroupStart
24474401909,24474408642,6733,0,6733,NCCL:ncclReduceScatter,1114948,1114948,1,0,71,17.0,:17:71,--NCCL:ncclReduceScatter
24474409404,24474445153,35749,0,35749,NCCL:ncclGroupEnd,1114948,1114948,1,0,72,17.0,:17:72,--NCCL:ncclGroupEnd
24477101889,24477102821,932,0,932,NCCL:ncclGroupStart,1114948,1114948,1,0,84,17.0,:17:84,--NCCL:ncclGroupStart
24477103603,24477107450,3847,0,3847,NCCL:ncclAllGather,1114948,1114948,1,0,85,17.0,:17:85,--NCCL:ncclAllGather
24477108051,24477138219,30168,0,30168,NCCL:ncclGroupEnd,1114948,1114948,1,0,86,17.0,:17:86,--NCCL:ncclGroupEnd
24505395296,24505397160,1864,0,1864,NCCL:ncclGroupStart,1114948,1114948,1,0,96,17.0,:17:96,--NCCL:ncclGroupStart
24505401829,24505407570,5741,0,5741,NCCL:ncclReduceScatter,1114948,1114948,1,0,97,17.0,:17:97,--NCCL:ncclReduceScatter
24505408241,24505439652,31411,0,31411,NCCL:ncclGroupEnd,1114948,1114948,1,0,98,17.0,:17:98,--NCCL:ncclGroupEnd
24507049534,24507123237,73703,0,73703,NCCL:ncclAllGather,1114948,1114948,1,0,102,17.0,:17:102,--NCCL:ncclAllGather
24511112649,24511115063,2414,0,2414,NCCL:ncclGroupStart,1114948,1114948,1,0,109,17.0,:17:109,--NCCL:ncclGroupStart
24511116186,24511125263,9077,0,9077,NCCL:ncclAllGather,1114948,1114948,1,0,110,17.0,:17:110,--NCCL:ncclAllGather
24511126345,24511173867,47522,0,47522,NCCL:ncclGroupEnd,1114948,1114948,1,0,111,17.0,:17:111,--NCCL:ncclGroupEnd
24515124565,24515130085,5520,0,5520,NCCL:ncclGroupStart,1114948,1114948,1,0,124,17.0,:17:124,--NCCL:ncclGroupStart
24515132310,24515140085,7775,0,7775,NCCL:ncclReduceScatter,1114948,1114948,1,0,125,17.0,:17:125,--NCCL:ncclReduceScatter
24515141718,24515189139,47421,0,47421,NCCL:ncclGroupEnd,1114948,1114948,1,0,126,17.0,:17:126,--NCCL:ncclGroupEnd
24516885489,24516914295,28806,0,28806,NCCL:ncclGroupStart,1114948,1114948,1,0,137,17.0,:17:137,--NCCL:ncclGroupStart
24516916188,24516925336,9148,0,9148,NCCL:ncclAllGather,1114948,1114948,1,0,140,17.0,:17:140,--NCCL:ncclAllGather
24516926589,24516982907,56318,0,56318,NCCL:ncclGroupEnd,1114948,1114948,1,0,141,17.0,:17:141,--NCCL:ncclGroupEnd
24518910353,24518911766,1413,0,1413,NCCL:ncclGroupStart,1114948,1114948,1,0,147,17.0,:17:147,--NCCL:ncclGroupStart
24518918429,24518924761,6332,0,6332,NCCL:ncclReduceScatter,1114948,1114948,1,0,148,17.0,:17:148,--NCCL:ncclReduceScatter
24518925823,24518963135,37312,0,37312,NCCL:ncclGroupEnd,1114948,1114948,1,0,149,17.0,:17:149,--NCCL:ncclGroupEnd
24520420914,24520480138,59224,0,59224,NCCL:ncclAllGather,1114948,1114948,1,0,150,17.0,:17:150,--NCCL:ncclAllGather
24523678271,24523679313,1042,0,1042,NCCL:ncclGroupStart,1114948,1114948,1,0,161,17.0,:17:161,--NCCL:ncclGroupStart
24523680054,24523684333,4279,0,4279,NCCL:ncclAllGather,1114948,1114948,1,0,162,17.0,:17:162,--NCCL:ncclAllGather
24523684894,24523715894,31000,0,31000,NCCL:ncclGroupEnd,1114948,1114948,1,0,163,17.0,:17:163,--NCCL:ncclGroupEnd
24526654595,24526658582,3987,0,3987,NCCL:ncclGroupStart,1114948,1114948,1,0,176,17.0,:17:176,--NCCL:ncclGroupStart
24526659805,24526664554,4749,0,4749,NCCL:ncclReduceScatter,1114948,1114948,1,0,177,17.0,:17:177,--NCCL:ncclReduceScatter
24526665235,24526699361,34126,0,34126,NCCL:ncclGroupEnd,1114948,1114948,1,0,178,17.0,:17:178,--NCCL:ncclGroupEnd
24528023000,24528023922,922,0,922,NCCL:ncclGroupStart,1114948,1114948,1,0,188,17.0,:17:188,--NCCL:ncclGroupStart
24528024753,24528029573,4820,0,4820,NCCL:ncclAllGather,1114948,1114948,1,0,189,17.0,:17:189,--NCCL:ncclAllGather
24528030575,24528063659,33084,0,33084,NCCL:ncclGroupEnd,1114948,1114948,1,0,190,17.0,:17:190,--NCCL:ncclGroupEnd
24529646879,24529648132,1253,0,1253,NCCL:ncclGroupStart,1114948,1114948,1,0,193,17.0,:17:193,--NCCL:ncclGroupStart
24529653733,24529659123,5390,0,5390,NCCL:ncclReduceScatter,1114948,1114948,1,0,194,17.0,:17:194,--NCCL:ncclReduceScatter
24529659854,24529688320,28466,0,28466,NCCL:ncclGroupEnd,1114948,1114948,1,0,195,17.0,:17:195,--NCCL:ncclGroupEnd
24530620812,24530656461,35649,0,35649,NCCL:ncclAllGather,1114948,1114948,1,0,196,17.0,:17:196,--NCCL:ncclAllGather
24533614359,24533615632,1273,0,1273,NCCL:ncclGroupStart,1114948,1114948,1,0,209,17.0,:17:209,--NCCL:ncclGroupStart
