Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
12086400352,12593276768,506876416,0,506876416,NCCL:ncclCommInitRankConfig,1114946,1114946,0,0,6,,:6,NCCL:ncclCommInitRankConfig
12603894274,12812072104,208177830,0,208177830,NCCL:ncclBroadcast,1114946,1114946,0,0,11,,:11,NCCL:ncclBroadcast
22790679051,40838713773,18048034722,4430860965,13617173757,:pp_fw_bw,1114946,1114946,0,1087,19,,:19,:pp_fw_bw
22804076591,23068760609,264684018,0,264684018,NCCL:ncclCommInitRankConfig,1114946,1114946,1,0,20,19.0,:19:20,--NCCL:ncclCommInitRankConfig
23068877575,23111093497,42215922,0,42215922,NCCL:ncclAllGather,1114946,1114946,1,0,22,19.0,:19:22,--NCCL:ncclAllGather
23873707575,24011550894,137843319,0,137843319,NCCL:ncclCommInitRankConfig,1114946,1114946,1,0,32,19.0,:19:32,--NCCL:ncclCommInitRankConfig
24014122827,24014125612,2785,0,2785,NCCL:ncclGroupStart,1114946,1114946,1,0,38,19.0,:19:38,--NCCL:ncclGroupStart
24014162473,24014206658,44185,0,44185,NCCL:ncclReduceScatter,1114946,1114946,1,0,39,19.0,:19:39,--NCCL:ncclReduceScatter
24014219884,24052391177,38171293,0,38171293,NCCL:ncclGroupEnd,1114946,1114946,1,0,40,19.0,:19:40,--NCCL:ncclGroupEnd
24056739133,24056941023,201890,0,201890,NCCL:ncclAllGather,1114946,1114946,1,0,48,19.0,:19:48,--NCCL:ncclAllGather
24194909153,24194916107,6954,0,6954,NCCL:ncclGroupStart,1114946,1114946,1,0,57,19.0,:19:57,--NCCL:ncclGroupStart
24194917149,24194922850,5701,0,5701,NCCL:ncclAllGather,1114946,1114946,1,0,58,19.0,:19:58,--NCCL:ncclAllGather
24194923451,24194959470,36019,0,36019,NCCL:ncclGroupEnd,1114946,1114946,1,0,59,19.0,:19:59,--NCCL:ncclGroupEnd
24474185982,24474200069,14087,0,14087,NCCL:ncclGroupStart,1114946,1114946,1,0,63,19.0,:19:63,--NCCL:ncclGroupStart
24474202634,24474210519,7885,0,7885,NCCL:ncclReduceScatter,1114946,1114946,1,0,64,19.0,:19:64,--NCCL:ncclReduceScatter
24474211401,24474247521,36120,0,36120,NCCL:ncclGroupEnd,1114946,1114946,1,0,65,19.0,:19:65,--NCCL:ncclGroupEnd
24477083143,24477084165,1022,0,1022,NCCL:ncclGroupStart,1114946,1114946,1,0,76,19.0,:19:76,--NCCL:ncclGroupStart
24477085177,24477089415,4238,0,4238,NCCL:ncclAllGather,1114946,1114946,1,0,78,19.0,:19:78,--NCCL:ncclAllGather
24477089906,24477119764,29858,0,29858,NCCL:ncclGroupEnd,1114946,1114946,1,0,81,19.0,:19:81,--NCCL:ncclGroupEnd
24504902453,24504907273,4820,0,4820,NCCL:ncclGroupStart,1114946,1114946,1,0,93,19.0,:19:93,--NCCL:ncclGroupStart
24504918955,24504926670,7715,0,7715,NCCL:ncclReduceScatter,1114946,1114946,1,0,94,19.0,:19:94,--NCCL:ncclReduceScatter
24504927332,24504959694,32362,0,32362,NCCL:ncclGroupEnd,1114946,1114946,1,0,95,19.0,:19:95,--NCCL:ncclGroupEnd
24506041085,24506094217,53132,0,53132,NCCL:ncclAllGather,1114946,1114946,1,0,101,19.0,:19:101,--NCCL:ncclAllGather
24509681051,24509682725,1674,0,1674,NCCL:ncclGroupStart,1114946,1114946,1,0,106,19.0,:19:106,--NCCL:ncclGroupStart
24509684007,24509690480,6473,0,6473,NCCL:ncclAllGather,1114946,1114946,1,0,107,19.0,:19:107,--NCCL:ncclAllGather
24509691351,24509729555,38204,0,38204,NCCL:ncclGroupEnd,1114946,1114946,1,0,108,19.0,:19:108,--NCCL:ncclGroupEnd
24513640425,24513647199,6774,0,6774,NCCL:ncclGroupStart,1114946,1114946,1,0,118,19.0,:19:118,--NCCL:ncclGroupStart
24513650796,24513659232,8436,0,8436,NCCL:ncclReduceScatter,1114946,1114946,1,0,119,19.0,:19:119,--NCCL:ncclReduceScatter
24513660134,24513707054,46920,0,46920,NCCL:ncclGroupEnd,1114946,1114946,1,0,120,19.0,:19:120,--NCCL:ncclGroupEnd
