window_type,wind_start_ns,wind_end_ns,wind_duration_ns,kernel_before_bytes,kernel_after_bytes
DP-PP,24724264264,25980865771,1256601507,0,0
PP-DP,35972631406,40723421270,4750789864,0,0
DP-PP,44251547305,44265815268,14267963,0,0
PP-DP,52880795647,57608401271,4727605624,0,0
DP-PP,60633322068,60645722902,12400834,0,0
PP-DP,69204412960,73947267984,4742855024,0,0
DP-PP,76923432325,76935556975,12124650,0,0
PP-DP,85557947189,90248046355,4690099166,0,0
DP-PP,93324677699,93339157311,14479612,0,0
PP-DP,101822374506,106630164522,4807790016,0,0
DP-PP,109633179992,109645050570,11870578,0,0
PP-DP,118137252043,122981279945,4844027902,0,0
DP-PP,126110557144,126122545861,11988717,0,0
PP-DP,134732255691,139731425854,4999170163,0,0
DP-PP,142794707281,142806669556,11962275,0,0
PP-DP,151464242566,156381574889,4917332323,0,0
DP-PP,159431324246,159446471157,15146911,0,0
PP-DP,168087245131,172891089099,4803843968,0,0
DP-PP,175836172625,175849466825,13294200,0,0
PP-DP,184458397710,189549267818,5090870108,0,0
DP-PP,192689524412,192704435048,14910636,0,0
PP-DP,201272623148,206353043895,5080420747,0,0
DP-PP,209429974257,209448228947,18254690,0,0
PP-DP,217935566207,222710851294,4775285087,0,0
DP-PP,225774371743,225790382786,16011043,0,0
PP-DP,234253153373,239163050232,4909896859,0,0
DP-PP,242314691436,242328585556,13894120,0,0
PP-DP,250996329338,256185095569,5188766231,0,0
DP-PP,259383896261,259399754669,15858408,0,0
PP-DP,267992820794,273005340845,5012520051,0,0
DP-PP,276111716931,276127706833,15989902,0,0
PP-DP,284741593729,289651513032,4909919303,0,0
DP-PP,292849953388,292869668922,19715534,0,0
PP-DP,301341877495,306130903035,4789025540,0,0
DP-PP,309219309934,309237512724,18202790,0,0
PP-DP,317799116947,322855625967,5056509020,0,0
DP-PP,325999537417,326015809064,16271647,0,0
PP-DP,334580742973,339462251012,4881508039,0,0
DP-PP,342575021280,342590783622,15762342,0,0
PP-DP,351158157047,356203569316,5045412269,0,0
