iteration	parallelism_type	circuit_start_ts	circuit_end_ts	circuit_duration_ns	circuit_ranks	group_first_kernel_bytes	group_last_kernel_bytes
10	DP	6927252790149933	6927254209879736	1419729803	[3, 7]	1003880448	1003880448
10	PP	6927254265186792	6927254279828420	14641628	[3, 7, 11, 15]	67108864	67108864
10	DP	6927254280497887	6927255505180357	1224682470	[11, 15]	1003884544	1003884544
10	PP	6927256867369046	6927256880823855	13454809	[3, 7, 11, 15]	67108864	67108864
10	DP	6927258873454115	6927261454212230	2580758115	[11, 15]	4015538176	4015538176
10	PP	6927261454225190	6927261462333781	8108591	[3, 7, 11, 15]	67108864	67108864
10	DP	6927261465778086	6927264934852942	3469074856	[11, 15, 3, 7, 3, 7]	4015521800	4015521800
10	PP	6927265067922848	6927265069385849	1463001	[3, 7, 11, 15]	8	8
11	DP	6927265083686312	6927266493840716	1410154404	[3, 7]	1003880448	1003880448
11	PP	6927266585489334	6927266600855864	15366530	[3, 7, 11, 15]	67108864	67108864
11	DP	6927266601551548	6927267847119230	1245567682	[11, 15]	1003884544	1003884544
11	PP	6927269187114223	6927269201166311	14052088	[3, 7, 11, 15]	67108864	67108864
11	DP	6927271194285100	6927274003491004	2809205904	[11, 15]	4015538176	4015538176
11	PP	6927274003503899	6927274011402145	7898246	[3, 7, 11, 15]	67108864	67108864
11	DP	6927274014832615	6927277406447428	3391614813	[11, 15, 3, 7, 3, 7]	4015521800	4015521800
11	PP	6927277520680372	6927277522088921	1408549	[3, 7, 11, 15]	8	8
12	DP	6927277536423108	6927278939073805	1402650697	[3, 7]	1003880448	1003880448
12	PP	6927279041384436	6927279054943603	13559167	[3, 7, 11, 15]	67108864	67108864
12	DP	6927279055614958	6927280276245833	1220630875	[11, 15]	1003884544	1003884544
12	PP	6927281639843293	6927281653487290	13643997	[3, 7, 11, 15]	67108864	67108864
12	DP	6927283647520676	6927286470006438	2822485762	[11, 15]	4015538176	4015538176
12	PP	6927286470008486	6927286477305392	7296906	[3, 7, 11, 15]	67108864	67108864
12	DP	6927286480743639	6927289833408077	3352664438	[11, 15, 3, 7, 3, 7]	4015521800	4015521800
12	PP	6927289959993568	6927289961164937	1171369	[3, 7, 11, 15]	8	8
13	DP	6927289976049198	6927291321237591	1345188393	[3, 7]	1003880448	1003880448
13	PP	6927291477801353	6927291491897079	14095726	[3, 7, 11, 15]	67108864	67108864
13	DP	6927291492567442	6927292734371701	1241804259	[11, 15]	1003884544	1003884544
13	PP	6927294088766727	6927294102753866	13987139	[3, 7, 11, 15]	67108864	67108864
13	DP	6927296090825829	6927298609434020	2518608191	[11, 15]	4015538176	4015538176
13	PP	6927298609445604	6927298617852934	8407330	[3, 7, 11, 15]	67108864	67108864
13	DP	6927298621282764	6927302009500709	3388217945	[11, 15, 3, 7, 3, 7]	4015521800	4015521800
13	PP	6927302127413145	6927302128499691	1086546	[3, 7, 11, 15]	8	8
14	DP	6927302143225202	6927303554041466	1410816264	[3, 7]	1003880448	1003880448
14	PP	6927303652361819	6927303666357699	13995880	[3, 7, 11, 15]	67108864	67108864
14	DP	6927303667143266	6927304894046820	1226903554	[11, 15]	1003884544	1003884544
14	PP	6927306261062327	6927306275836308	14773981	[3, 7, 11, 15]	67108864	67108864
14	DP	6927308265730448	6927310927471455	2661741007	[11, 15]	4015538176	4015538176
14	PP	6927310927473216	6927310935782466	8309250	[3, 7, 11, 15]	67108864	67108864
14	DP	6927310939221320	6927314317863577	3378642257	[11, 15, 3, 7, 3, 7]	4015521800	4015521800
14	PP	6927314434830545	6927314435904626	1074081	[3, 7, 11, 15]	8	8
15	DP	6927314450736606	6927315845441170	1394704564	[3, 7]	1003880448	1003880448
15	PP	6927315954037501	6927315967545682	13508181	[3, 7, 11, 15]	67108864	67108864
15	DP	6927315968230765	6927317211299144	1243068379	[11, 15]	1003884544	1003884544
15	PP	6927318569850993	6927318584074407	14223414	[3, 7, 11, 15]	67108864	67108864
15	DP	6927320575534160	6927323176540031	2601005871	[11, 15]	4015538176	4015538176
15	PP	6927323176542624	6927323184451621	7908997	[3, 7, 11, 15]	67108864	67108864
15	DP	6927323187890123	6927326648985548	3461095425	[11, 15, 3, 7, 3, 7]	4015521800	4015521800
15	PP	6927326767514687	6927326768570935	1056248	[3, 7, 11, 15]	8	8
16	DP	6927326783268375	6927328171099061	1387830686	[3, 7]	1003880448	1003880448
16	PP	6927328299001937	6927328313145715	14143778	[3, 7, 11, 15]	67108864	67108864
16	DP	6927328313813646	6927329560280554	1246466908	[11, 15]	1003884544	1003884544
16	PP	6927330932266846	6927330945721433	13454587	[3, 7, 11, 15]	67108864	67108864
16	DP	6927332936867275	6927335805421712	2868554437	[11, 15]	4015538176	4015538176
16	PP	6927335805424880	6927335813445365	8020485	[3, 7, 11, 15]	67108864	67108864
16	DP	6927335816876475	6927339198196019	3381319544	[11, 15, 3, 7, 3, 7]	4015521800	4015521800
16	PP	6927339335429640	6927339336309002	879362	[3, 7, 11, 15]	8	8
17	DP	6927339351066623	6927340727140812	1376074189	[3, 7]	1003880448	1003880448
17	PP	6927340886502899	6927340901469147	14966248	[3, 7, 11, 15]	67108864	67108864
17	DP	6927340902142486	6927342129334733	1227192247	[11, 15]	1003884544	1003884544
17	PP	6927343505599758	6927343519642567	14042809	[3, 7, 11, 15]	67108864	67108864
17	DP	6927345512802341	6927348367185757	2854383416	[11, 15]	4015538176	4015538176
17	PP	6927348367352708	6927348374694864	7342156	[3, 7, 11, 15]	67108864	67108864
17	DP	6927348377971039	6927351718972218	3341001179	[11, 15, 3, 7, 3, 7]	4015521800	4015521800
17	PP	6927351839678812	6927351841039490	1360678	[3, 7, 11, 15]	8	8
18	DP	6927351855423147	6927353214332803	1358909656	[3, 7]	1003880448	1003880448
18	PP	6927353368329723	6927353382484559	14154836	[3, 7, 11, 15]	67108864	67108864
18	DP	6927353383256921	6927354631346351	1248089430	[11, 15]	1003884544	1003884544
18	PP	6927355997595360	6927356011069467	13474107	[3, 7, 11, 15]	67108864	67108864
18	DP	6927358005324715	6927360609335344	2604010629	[11, 15]	4015538176	4015538176
18	PP	6927360609339281	6927360617316460	7977179	[3, 7, 11, 15]	67108864	67108864
