iteration	parallelism_type	circuit_start_ts	circuit_end_ts	circuit_duration_ns	circuit_ranks	group_first_kernel_bytes	group_last_kernel_bytes
17	DP	6927349765072191	6927351778549460	2013477269	[0, 4]	4015521792	4015521792
17	DP	6927351790695509	6927351790750142	54633	[0, 4]	4	4
17	PP	6927351839658629	6927351842059068	2400439	[0, 4, 8, 12]	4	4
18	DP	6927351855277842	6927353269376068	1414098226	[0, 4]	1003880448	1003880448
18	PP	6927353368360594	6927353383649940	15289346	[0, 4, 8, 12]	33554432	33554432
18	DP	6927353385016911	6927354692479444	1307462533	[8, 12]	1003884544	1003884544
18	PP	6927355998511609	6927356013600961	15089352	[0, 4, 8, 12]	33554432	33554432
18	DP	6927358006177006	6927360584127776	2577950770	[8, 12]	4015538176	4015538176
18	PP	6927360584131552	6927360592466296	8334744	[0, 4, 8, 12]	33554432	33554432
18	DP	6927360596599334	6927360596660678	61344	[8, 12]	4	4
18	DP	6927361997529450	6927364034795853	2037266403	[0, 4]	4015521792	4015521792
18	DP	6927364045673526	6927364045756981	83455	[0, 4]	4	4
18	PP	6927364070408886	6927364072377908	1969022	[0, 4, 8, 12]	4	4
19	DP	6927364085967398	6927365522241907	1436274509	[0, 4]	1003880448	1003880448
19	PP	6927365568115594	6927365585937532	17821938	[0, 4, 8, 12]	33554432	33554432
19	DP	6927365585754841	6927366913055686	1327300845	[8, 12]	1003884544	1003884544
19	PP	6927368216139125	6927368230506137	14367012	[0, 4, 8, 12]	33554432	33554432
19	DP	6927370224040216	6927372946509106	2722468890	[8, 12]	4015538176	4015538176
19	PP	6927372947377778	6927372953804769	6426991	[0, 4, 8, 12]	33554432	33554432
19	DP	6927372957246184	6927372957320993	74809	[8, 12]	4	4
19	DP	6927374180146054	6927376222936202	2042790148	[0, 4]	4015521792	4015521792
19	DP	6927376233178389	6927376233246546	68157	[0, 4]	4	4
19	PP	6927376234003377	6927376235730503	1727126	[0, 4, 8, 12]	4	4
19	DP	6927376249202978	6927376249242878	39900	[0, 4]	4	4
19	DP	6927376249547468	6927376249661379	113911	[8, 12]	4	4
19	DP	6927376250055710	6927376250119967	64257	[0, 4]	4	4
19	DP	6927376251404623	6927376251514203	109580	[8, 12]	4	4
