iteration,parallelism_type,start_ts,end_ts,duration_ns,kernel_name,collective_name,in_msg_nelems,group_desc,group_ranks,bytes
13,DP,6927290854539382.0,6927290937383878.0,82844496,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
13,DP,6927290937386311.0,6927291021277778.0,83891467,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
13,DP,6927291021283506.0,6927291106424375.0,85140869,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
13,DP,6927291106428375.0,6927291189868133.0,83439758,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
13,DP,6927291189872069.0,6927291271709627.0,81837558,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
13,DP,6927291271714011.0,6927291353360146.0,81646135,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
13,DP,6927291353363154.0,6927291432047288.0,78684134,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
13,PP,6927291477716171.0,6927291487494072.0,9777901,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096ul>),,,,,33554432
13,PP,6927292225197209.0,6927294101222231.0,1876025022,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096ul>),,,,,33554432
13,PP,6927295316694623.0,6927298756535477.0,3439840854,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096ul>),,,,,33554432
13,DP,6927299980732115.0,6927300244475578.0,263743463,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,131334144.0,mesh_dp_shard,"[0, 4]",525336576
13,DP,6927300000000000.0,6927300351883481.0,107058561,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927300352243351.0,6927300000000000.0,106591139,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927300459194872.0,6927300568380622.0,109185750,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
