iteration	parallelism_type	start_ts	end_ts	duration_ns	kernel_name	collective_name	in_msg_nelems	group_desc	group_ranks	dtype
14	DP	6927310976634510	6927310978407949	1773439	ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	allreduce	1	mesh_dp_shard	[9, 13]	Float
14	PP	6927311099320554	6927314435226619	3335906065	ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	allreduce	1	mesh_pp	[1, 9]	Float
15	PP	6927314450100781	6927315966661195	1516560414	ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096ul>)	NULL	NULL	NULL	NULL	NULL
15	DP	6927315967333931	6927316099543669	132209738	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	65669120	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927316099546038	6927316152079591	52533553	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927316152083271	6927316213091281	61008010	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927316213108689	6927316282602515	69493826	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927316282607155	6927316351127286	68520131	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927316351144150	6927316420932088	69787938	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927316420935576	6927316488327805	67392229	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927316488331772	6927316554044929	65713157	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927316554046754	6927316625279682	71232928	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927316625294723	6927316697086019	71791296	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927316697098819	6927316770883009	73784190	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927316770898274	6927316842927778	72029504	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927316842932514	6927316915627105	72694591	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
