iteration	parallelism_type	circuit_start_ts	circuit_end_ts	circuit_duration_ns	circuit_ranks	group_first_kernel_bytes	group_last_kernel_bytes
17	PP	6927351839678812	6927351841039490	1360678	[3, 7, 11, 15]	4	4
18	DP	6927351855423147	6927353214332803	1358909656	[3, 7]	131334144	54534144
18	PP	6927353368329723	6927353382484559	14154836	[3, 7, 11, 15]	33554432	33554432
18	DP	6927353383256921	6927354631346351	1248089430	[11, 15]	131338240	54534144
18	PP	6927355997595360	6927356011069467	13474107	[3, 7, 11, 15]	33554432	33554432
18	DP	6927358005324715	6927360609335344	2604010629	[11, 15]	525352960	218136576
18	PP	6927360609339281	6927360617316460	7977179	[3, 7, 11, 15]	33554432	33554432
18	DP	6927360620752719	6927360620799018	46299	[11, 15]	4	4
18	DP	6927361997462664	6927363943386634	1945923970	[3, 7]	525336576	218136576
18	DP	6927363955653120	6927363955738720	85600	[3, 7]	4	4
18	PP	6927364070408635	6927364071502752	1094117	[3, 7, 11, 15]	4	4
19	DP	6927364086185338	6927365498304322	1412118984	[3, 7]	131334144	54534144
19	PP	6927365568039568	6927365581839065	13799497	[3, 7, 11, 15]	33554432	33554432
19	DP	6927365582512852	6927366851713024	1269200172	[11, 15]	131338240	54534144
19	PP	6927368215901809	6927368229635450	13733641	[3, 7, 11, 15]	33554432	33554432
19	DP	6927370223808260	6927372788400539	2564592279	[11, 15]	525352960	218136576
19	PP	6927372788543423	6927372796033354	7489931	[3, 7, 11, 15]	33554432	33554432
19	DP	6927372799327388	6927372799395804	68416	[11, 15]	4	4
19	DP	6927374180146615	6927376102997164	1922850549	[3, 7]	525336576	218136576
19	DP	6927376114327043	6927376114412771	85728	[3, 7]	4	4
19	PP	6927376233607827	6927376234423311	815484	[3, 7, 11, 15]	4	4
19	DP	6927376247960582	6927376248018075	57493	[3, 7]	4	4
19	DP	6927376248754691	6927376248843862	89171	[11, 15]	4	4
19	DP	6927376249113946	6927376249218330	104384	[3, 7]	4	4
19	DP	6927376250332274	6927376250411698	79424	[11, 15]	4	4
